,day,agg_lineitem_unblendedcost,agg_lineitem_usageamount,agg_lineitem_blendedcost,agg_pricing_publicondemandcost,agg_reservation_effectivecost,agg_reservation_amortizedupfrontfeeforbillingperiod,agg_reservation_amortizedupfrontcostforusage,agg_reservation_unusedamortizedupfrontfeeforbillingperiod,agg_reservation_unusednormalizedunitquantity,agg_reservation_recurringfeeforusage,agg_reservation_totalreservednormalizedunits,agg_reservation_unusedquantity,agg_reservation_unusedrecurringfee,agg_savingsplan_unusedamortizedupfrontcommitmentforbillingperiod,agg_savingsplan_totalcommitmenttodate,agg_savingsplan_savingsplaneffectivecost,agg_savingsplan_recurringcommitmentforbillingperiod,agg_savingsplan_amortizedcostforusage,agg_savingsplan_amortizedupfrontcommitmentforbillingperiod,bill_billingentity,bill_payeraccountid,lineitem_lineitemdescription,lineitem_lineitemtype,lineitem_operation,lineitem_usageaccountid,pricing_term,lineitem_usagetype,pricing_unit,pricing_purchaseoption,pricing_offeringclass,product_fromlocation,product_category,product_instancetype,product_instancefamily,product_operatingsystem,product_productfamily,product_productname,product_region,product_tolocation,reservation_endtime,reservation_starttime,reservation_reservationarn,reservation_modificationstatus,reservation_subscriptionid,savingsplan_endtime,savingsplan_starttime,savingsplan_savingsplanarn,savingsplan_region,savingsplan_purchaseterm,savingsplan_purchaseoption,savingsplan_paymentoption,savingsplan_instancetypefamily,reservation_duration,labels
54,2022-01-01,-3.8271999999999986,46.0,-3.8271999999999986,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 636886484367 and UsageSku : GY4EP95U8PKCRZ58,SavingsPlanNegation,RunInstances,636886484367,OnDemand,USE2-BoxUsage:t3.large,Hrs,,,,,t3.large,General purpose,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-east-2,,,,,,,2022-12-06T00:15:59.000Z,2019-12-07T00:16:00.000Z,arn:aws:savingsplans::116462199383:savingsplan/1befbaa5-32d2-4a67-abd1-a9b1b87c0754,Any,3yr,PartialUpfront,Partial Upfront,,,1
56,2022-01-01,-8.8084523114,4.36927198,-8.8084523114,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 565541806941 and UsageSku : P4P583X6BJDDEQX3,SavingsPlanNegation,RunInstances,5655418126941,OnDemand,USW2-BoxUsage:r5.8xlarge,Hrs,,,,,r5.8xlarge,Memory optimized,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-west-2,,,,,,,2024-09-19T17:37:01.000Z,2021-09-20T17:37:02.000Z,arn:aws:savingsplans::116462199383:savingsplan/69d6bee1-9aef-4f9e-9c8b-3330069f1201,Any,3yr,NoUpfront,No Upfront,,,1
60,2022-01-01,2.20751e-05,0.998875,2.20751e-05,2.20751e-05,,,,,,,,,,,,1.98676e-05,,0.0,,AWS,116462199383,USD2.21195E-05 per seconds for Lambda-GB-Second in Africa (Cape Town),SavingsPlanCoveredUsage,Invoke,3717776120751,OnDemand,AFS1-Lambda-GB-Second,seconds,,,,,,,,Serverless,AWS Lambda,af-south-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
62,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 462822702205 and UsageSku : GU2ZS9HVP6QTQ7KE,SavingsPlanNegation,Invoke,4628227122205,OnDemand,Request,Requests,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
128,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 607853614323 and UsageSku : KERWZD8CJ22SEZWT,SavingsPlanNegation,Invoke,6127853614323,OnDemand,EUN1-Request,Requests,,,,,,,,Serverless,AWS Lambda,eu-north-1,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
133,2022-01-01,4.0000000000000003e-07,2.0,4.0000000000000003e-07,4.0000000000000003e-07,,,,,,,,,,,,4.0000000000000003e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - US West (Oregon),SavingsPlanCoveredUsage,Invoke,9171212352562,OnDemand,USW2-Request,Requests,,,,,,,,Serverless,AWS Lambda,us-west-2,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
145,2022-01-01,9.8709e-06,0.59225,9.8709e-06,9.8709e-06,,,,,,,,,,,,8.706099999999998e-06,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - Canada (Central),SavingsPlanCoveredUsage,Invoke,8128682851023,OnDemand,CAN1-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,ca-central-1,,,,,,,2024-11-21T04:21:54.000Z,2021-11-22T04:21:55.000Z,arn:aws:savingsplans::116462199383:savingsplan/d7738762-ab10-4d7b-a691-e0f451150131,Any,3yr,NoUpfront,No Upfront,,,1
168,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - EU (Frankfurt),SavingsPlanCoveredUsage,Invoke,6481312359314,OnDemand,EUC1-Request,Request,,,,,,,,Serverless,AWS Lambda,eu-central-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
177,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - US East (Northern Virginia),SavingsPlanCoveredUsage,Invoke,937821977975,OnDemand,Request,Requests,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
178,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - US East (Northern Virginia),SavingsPlanCoveredUsage,Invoke,6112070429775,OnDemand,Request,Requests,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
179,2022-01-01,2.78438e-05,1.670625,2.78438e-05,2.78438e-05,,,,,,,,,,,,2.45582e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - US East (Ohio),SavingsPlanCoveredUsage,Invoke,4123989027482,OnDemand,USE2-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,us-east-2,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
185,2022-01-01,0.0,1.0,0.0,0.0207999999999999,0.0104,,0.0,,,0.0104,,,,,,,,,,AWS,116462199383,"Linux/UNIX (Amazon VPC), t3.nano reserved instance applied",DiscountedUsage,RunInstances,1237213401465,Reserved,USW2-BoxUsage:t3.small,Hrs,No Upfront,convertible,,,t3.small,General purpose,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-west-2,,,,arn:aws:ec2:us-west-2:116462199383:reserved-instances/d79be726-6d4e-4d6e-92d3-3d020dd79ebd,,2876493674.0,,,,,,No Upfront,,,,1
188,2022-01-01,1.47813e-05,0.8868749999999999,1.47813e-05,1.47813e-05,,,,,,,,,,,,1.30371e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - Asia Pacific (Mumbai),SavingsPlanCoveredUsage,Invoke,5115466417812,OnDemand,APS3-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,ap-south-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
197,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - Asia Pacific (Sydney),SavingsPlanCoveredUsage,Invoke,176742799591,OnDemand,APS2-Request,Request,,,,,,,,Serverless,AWS Lambda,ap-southeast-2,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
201,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - US West (Oregon),SavingsPlanCoveredUsage,Invoke,1812451619758,OnDemand,USW2-Request,Requests,,,,,,,,Serverless,AWS Lambda,us-west-2,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
208,2022-01-01,9.9375e-06,0.59625,9.9375e-06,9.9375e-06,,,,,,,,,,,,8.764899999999998e-06,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - EU (London),SavingsPlanCoveredUsage,Invoke,4235918121985,OnDemand,EUW2-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,eu-west-2,,,,,,,2024-11-21T04:21:54.000Z,2021-11-22T04:21:55.000Z,arn:aws:savingsplans::116462199383:savingsplan/d7738762-ab10-4d7b-a691-e0f451150131,Any,3yr,NoUpfront,No Upfront,,,1
218,2022-01-01,1.05917e-05,0.6355,1.05917e-05,1.05917e-05,,,,,,,,,,,,9.5325e-06,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - US West (Northern California),SavingsPlanCoveredUsage,Invoke,9121796249174,OnDemand,USW1-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,us-west-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
220,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 514536927182 and UsageSku : YY4C5XTAZNQPB6J6,SavingsPlanNegation,Invoke,514536927182,OnDemand,USW1-Request,Request,,,,,,,,Serverless,AWS Lambda,us-west-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
222,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 468456960592 and UsageSku : 6GFK8TZW8U8G9MUB,SavingsPlanNegation,Invoke,4684569612592,OnDemand,EUW3-Request,Requests,,,,,,,,Serverless,AWS Lambda,eu-west-3,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
227,2022-01-01,6.000000000000001e-07,3.0,6.000000000000001e-07,6.000000000000001e-07,,,,,,,,,,,,6.000000000000001e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - EU (London),SavingsPlanCoveredUsage,Invoke,4912701623136,OnDemand,EUW2-Request,Requests,,,,,,,,Serverless,AWS Lambda,eu-west-2,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
237,2022-01-01,0.0,3.75,3.7697296637,18.72,10.44,,0.0,,,10.44,,,,,,,,,,AWS,116462199383,"Linux/UNIX (Amazon VPC), i3.large reserved instance applied",DiscountedUsage,RunInstances,3121213811993,Reserved,USW2-BoxUsage:i3.16xlarge,Hrs,No Upfront,convertible,,,i3.16xlarge,Storage optimized,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-west-2,,,,arn:aws:ec2:us-west-2:301213811993:reserved-instances/7db89819-0d62-4917-863b-f4991b067cc5,,6107266224.0,,,,,,No Upfront,,,,1
246,2022-01-01,1.18104e-05,0.708625,1.18104e-05,1.18104e-05,,,,,,,,,,,,1.06294e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - EU (Frankfurt),SavingsPlanCoveredUsage,Invoke,1912304282692,OnDemand,EUC1-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,eu-central-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
260,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 011618747482 and UsageSku : ZEA64MMVK5QRB5TC,SavingsPlanNegation,Invoke,1211618747482,OnDemand,USE2-Request,Request,,,,,,,,Serverless,AWS Lambda,us-east-2,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
266,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,USD 0.0000002per Lambda-GB-Second for Lambda-GB-Second in Asia Pacific (Osaka),SavingsPlanCoveredUsage,Invoke,377781115264,OnDemand,APN3-Request,Requests,,,,,,,,Serverless,AWS Lambda,ap-northeast-3,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
270,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 393298209095 and UsageSku : 6GFK8TZW8U8G9MUB,SavingsPlanNegation,Invoke,3932982129095,OnDemand,EUW3-Request,Requests,,,,,,,,Serverless,AWS Lambda,eu-west-3,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
272,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 366461743145 and UsageSku : 3BE8DYKG4FYSZGDW,SavingsPlanNegation,Invoke,366461743145,OnDemand,APN1-Request,Requests,,,,,,,,Serverless,AWS Lambda,ap-northeast-1,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
279,2022-01-01,1.68896e-05,1.013375,1.68896e-05,1.68896e-05,,,,,,,,,,,,1.52006e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - EU (Frankfurt),SavingsPlanCoveredUsage,Invoke,7128019584415,OnDemand,EUC1-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,eu-central-1,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
303,2022-01-01,1.21709e-05,0.73025,1.21709e-05,1.21709e-05,,,,,,,,,,,,1.07347e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - Asia Pacific (Sydney),SavingsPlanCoveredUsage,Invoke,3521207733584,OnDemand,APS2-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,ap-southeast-2,,,,,,,2024-11-21T04:21:54.000Z,2021-11-22T04:21:55.000Z,arn:aws:savingsplans::116462199383:savingsplan/d7738762-ab10-4d7b-a691-e0f451150131,Any,3yr,NoUpfront,No Upfront,,,1
321,2022-01-01,-2.4667e-06,0.1480017,-2.4667e-06,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 185226308030 and UsageSku : TG3M4CAGBA3NYQBH,SavingsPlanNegation,Invoke,1852263128030,OnDemand,Lambda-GB-Second,seconds,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
328,2022-01-01,0.0,18.75,58.61454545520001,86.39999999999996,44.400000000000006,,0.0,,,44.400000000000006,,,,,,,,,,AWS,116462199383,"Linux/UNIX (Amazon VPC), r5d.large reserved instance applied",DiscountedUsage,RunInstances,3121213811993,Reserved,USW2-BoxUsage:r5d.16xlarge,Hrs,No Upfront,convertible,,,r5d.16xlarge,Memory optimized,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-west-2,,,,arn:aws:ec2:us-west-2:301213811993:reserved-instances/cce70469-c64f-453b-9ce3-99f293c8439b,,4985295690.0,,,,,,No Upfront,,,,1
330,2022-01-01,1.2,6.0,0.2249999999999999,1.2,,,,,,,,,,,,0.5519999999999999,,0.2097599999999999,,AWS,116462199383,$0.20 per On Demand Linux m4.xlarge Instance Hour,SavingsPlanCoveredUsage,RunInstances,623687983927,OnDemand,USE2-BoxUsage:m4.xlarge,Hrs,,,,,m4.xlarge,General purpose,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-east-2,,,,,,,2022-12-20T00:23:44.000Z,2019-12-21T00:23:45.000Z,arn:aws:savingsplans::116462199383:savingsplan/0494fc27-1d14-4125-a1af-a1fedc9ff166,Any,3yr,PartialUpfront,Partial Upfront,,,1
336,2022-01-01,0.0,7.5,0.9923736818,3.78,1.4698125000000002,,0.0,,,1.4698125000000002,,,,,,,,,,AWS,116462199383,"Linux/UNIX (Amazon VPC), r5.24xlarge reserved instance applied",DiscountedUsage,RunInstances,6634792231228,Reserved,BoxUsage:r5.2xlarge,Hrs,No Upfront,standard,,,r5.2xlarge,Memory optimized,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-east-1,,,,arn:aws:ec2:us-east-1:116462199383:reserved-instances/5d63ff4e-ffc3-431d-9bbf-1c5380c60294,,6284840705.0,,,,,,No Upfront,,,,1
345,2022-01-01,-0.0001974,987.0,-0.0001974,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 714643180550 and UsageSku : GU2ZS9HVP6QTQ7KE,SavingsPlanNegation,Invoke,7146431812550,OnDemand,Request,Requests,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
346,2022-01-01,33.998068544,87.623888,30.75564699460001,33.998068544,,,,,,,,,,,,19.364879248000005,,0.0,,AWS,116462199383,$0.388 per On Demand Linux c5.2xlarge Instance Hour,SavingsPlanCoveredUsage,RunInstances,6791207912305,OnDemand,EUC1-BoxUsage:c5.2xlarge,Hrs,,,,,c5.2xlarge,Compute optimized,Linux,Compute Instance,Amazon Elastic Compute Cloud,eu-central-1,,,,,,,2024-10-26T18:51:58.000Z,2021-10-27T18:51:59.000Z,arn:aws:savingsplans::116462199383:savingsplan/15a31d0c-3f12-489d-a61e-ab3f58649158,Any,3yr,NoUpfront,No Upfront,,,1
377,2022-01-01,2.0000000000000002e-07,1.0,1.999e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - Asia Pacific (Tokyo),SavingsPlanCoveredUsage,Invoke,8712460511082,OnDemand,APN1-Request,Requests,,,,,,,,Serverless,AWS Lambda,ap-northeast-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
397,2022-01-01,-1.63313e-05,0.97987604,-1.63313e-05,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 169103275263 and UsageSku : SGGKTWDV7PGMPPSJ,SavingsPlanNegation,Invoke,1691123275263,OnDemand,EU-Lambda-GB-Second,Second,,,,,,,,Serverless,AWS Lambda,eu-west-1,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
420,2022-01-01,-1.62e-05,0.97199806,-1.62e-05,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 299354847449 and UsageSku : SGGKTWDV7PGMPPSJ,SavingsPlanNegation,Invoke,299354847449,OnDemand,EU-Lambda-GB-Second,Second,,,,,,,,Serverless,AWS Lambda,eu-west-1,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
421,2022-01-01,-1.40709e-05,0.84425231,-1.40709e-05,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 097746530531 and UsageSku : TG3M4CAGBA3NYQBH,SavingsPlanNegation,Invoke,1297746530531,OnDemand,Lambda-GB-Second,seconds,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
422,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 490985245892 and UsageSku : ZW6UHD4Q6EPUCZWU,SavingsPlanNegation,Invoke,4912985245892,OnDemand,APS2-Request,Request,,,,,,,,Serverless,AWS Lambda,ap-southeast-2,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
433,2022-01-01,0.0,31.0,2.0898769226,3.8812,2.4955,,0.0,,,2.4955,,,,,,,,,,AWS,116462199383,"Windows (Amazon VPC), t3.large reserved instance applied",DiscountedUsage,RunInstances:0002,2111259838677,Reserved,UGW1-BoxUsage:t3.large,Hrs,No Upfront,convertible,,,t3.large,General purpose,Windows,Compute Instance,Amazon Elastic Compute Cloud,us-gov-west-1,,,,arn:aws-us-gov:ec2:us-gov-west-1:116462199383:reserved-instances/f23f410a-8089-4a96-9c91-7f2ac37cc440,,4242077407.0,,,,,,No Upfront,,,,1
437,2022-01-01,-1.05459e-05,0.6327527299999999,-1.05459e-05,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 453162626847 and UsageSku : JNXN2GCNDMDR7JAF,SavingsPlanNegation,Invoke,453162626847,OnDemand,SAE1-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,sa-east-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
449,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 012087999012 and UsageSku : ZWHFK83WS2P4WZR6,SavingsPlanNegation,Invoke,1212087999012,OnDemand,USW2-Request,Requests,,,,,,,,Serverless,AWS Lambda,us-west-2,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
453,2022-01-01,1.18709e-05,0.71225,1.18709e-05,1.18709e-05,,,,,,,,,,,,1.06838e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - Asia Pacific (Tokyo),SavingsPlanCoveredUsage,Invoke,477129938662,OnDemand,APN1-Lambda-GB-Second,seconds,,,,,,,,Serverless,AWS Lambda,ap-northeast-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
454,2022-01-01,-0.1043999999999999,9.0,-0.1043999999999999,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 207650465298 and UsageSku : HZC9FAP4F9Y8JW67,SavingsPlanNegation,RunInstances,2127650465298,OnDemand,BoxUsage:t2.micro,Hrs,,,,,t2.micro,General purpose,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-east-1,,,,,,,2022-12-20T00:23:44.000Z,2019-12-21T00:23:45.000Z,arn:aws:savingsplans::116462199383:savingsplan/0494fc27-1d14-4125-a1af-a1fedc9ff166,Any,3yr,PartialUpfront,Partial Upfront,,,1
472,2022-01-01,0.0,12.000000000000002,0.0,36.864,18.816000000000003,,0.0,,,18.816000000000003,,,,,,,,,,AWS,116462199383,"Linux/UNIX (Amazon VPC), m5.large reserved instance applied",DiscountedUsage,RunInstances,3121213811993,Reserved,USW2-BoxUsage:m5.16xlarge,Hrs,No Upfront,convertible,,,m5.16xlarge,General purpose,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-west-2,,,,arn:aws:ec2:us-west-2:301213811993:reserved-instances/de442b3f-5ea0-48a4-99ab-a08f052d9dba,,5829263914.0,,,,,,No Upfront,,,,1
