,day,agg_lineitem_unblendedcost,agg_lineitem_usageamount,agg_lineitem_blendedcost,agg_pricing_publicondemandcost,agg_reservation_effectivecost,agg_reservation_amortizedupfrontfeeforbillingperiod,agg_reservation_amortizedupfrontcostforusage,agg_reservation_unusedamortizedupfrontfeeforbillingperiod,agg_reservation_unusednormalizedunitquantity,agg_reservation_recurringfeeforusage,agg_reservation_totalreservednormalizedunits,agg_reservation_unusedquantity,agg_reservation_unusedrecurringfee,agg_savingsplan_unusedamortizedupfrontcommitmentforbillingperiod,agg_savingsplan_totalcommitmenttodate,agg_savingsplan_savingsplaneffectivecost,agg_savingsplan_recurringcommitmentforbillingperiod,agg_savingsplan_amortizedcostforusage,agg_savingsplan_amortizedupfrontcommitmentforbillingperiod,bill_billingentity,bill_payeraccountid,lineitem_lineitemdescription,lineitem_lineitemtype,lineitem_operation,lineitem_usageaccountid,pricing_term,lineitem_usagetype,pricing_unit,pricing_purchaseoption,pricing_offeringclass,product_fromlocation,product_category,product_instancetype,product_instancefamily,product_operatingsystem,product_productfamily,product_productname,product_region,product_tolocation,reservation_endtime,reservation_starttime,reservation_reservationarn,reservation_modificationstatus,reservation_subscriptionid,savingsplan_endtime,savingsplan_starttime,savingsplan_savingsplanarn,savingsplan_region,savingsplan_purchaseterm,savingsplan_purchaseoption,savingsplan_paymentoption,savingsplan_instancetypefamily,reservation_duration,labels
20192,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - Asia Pacific (Mumbai),SavingsPlanCoveredUsage,Invoke,627593488483,OnDemand,APS3-Request,Request,,,,,,,,Serverless,AWS Lambda,ap-south-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20214,2022-01-01,-1.15854e-05,0.6951226099999999,-1.15854e-05,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 055668496856 and UsageSku : PHDF9YNAFR3HDSR8,SavingsPlanNegation,Invoke,1255668496856,OnDemand,APS3-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,ap-south-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20236,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - Asia Pacific (Sydney),SavingsPlanCoveredUsage,Invoke,6675412721281,OnDemand,APS2-Request,Request,,,,,,,,Serverless,AWS Lambda,ap-southeast-2,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20241,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 206845263783 and UsageSku : ZEA64MMVK5QRB5TC,SavingsPlanNegation,Invoke,2126845263783,OnDemand,USE2-Request,Request,,,,,,,,Serverless,AWS Lambda,us-east-2,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20247,2022-01-01,1.25792e-05,0.75475,1.25792e-05,1.25792e-05,,,,,,,,,,,,1.10948e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - EU (Ireland),SavingsPlanCoveredUsage,Invoke,5216943512784,OnDemand,EU-Lambda-GB-Second,Second,,,,,,,,Serverless,AWS Lambda,eu-west-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20276,2022-01-01,2.0000000000000002e-07,1.0,1.999e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - Asia Pacific (Tokyo),SavingsPlanCoveredUsage,Invoke,3121529790772,OnDemand,APN1-Request,Requests,,,,,,,,Serverless,AWS Lambda,ap-northeast-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20292,2022-01-01,2.61333e-05,1.1825,2.61333e-05,2.61333e-05,,,,,,,,,,,,2.35199e-05,,0.0,,AWS,116462199383,USD2.21195E-05 per seconds for Lambda-GB-Second in Africa (Cape Town),SavingsPlanCoveredUsage,Invoke,7357112347050,OnDemand,AFS1-Lambda-GB-Second,seconds,,,,,,,,Serverless,AWS Lambda,af-south-1,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
20294,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 608198941038 and UsageSku : ZWHFK83WS2P4WZR6,SavingsPlanNegation,Invoke,6128198941038,OnDemand,USW2-Request,Requests,,,,,,,,Serverless,AWS Lambda,us-west-2,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20332,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 517146698156 and UsageSku : 3BE8DYKG4FYSZGDW,SavingsPlanNegation,Invoke,517146698156,OnDemand,APN1-Request,Requests,,,,,,,,Serverless,AWS Lambda,ap-northeast-1,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
20336,2022-01-01,1.37521e-05,0.825125,1.37521e-05,1.37521e-05,,,,,,,,,,,,1.21293e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - US East (Northern Virginia),SavingsPlanCoveredUsage,Invoke,3126740103766,OnDemand,Lambda-GB-Second,seconds,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20338,2022-01-01,-4.46194e-05,2.15899974,-4.46194e-05,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 692385882974 and UsageSku : N7S38YMSMVSPHNAH,SavingsPlanNegation,Invoke,692385882974,OnDemand,MES1-Lambda-GB-Second,seconds,,,,,,,,Serverless,AWS Lambda,me-south-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20358,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - EU (Ireland),SavingsPlanCoveredUsage,Invoke,452812379734,OnDemand,EU-Request,Requests,,,,,,,,Serverless,AWS Lambda,eu-west-1,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
20360,2022-01-01,-1.80292e-05,1.08174984,-1.80292e-05,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 344670121463 and UsageSku : AW8K7Q9ZMMBBP9W6,SavingsPlanNegation,Invoke,3446712121463,OnDemand,APN2-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,ap-northeast-2,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
20371,2022-01-01,1.56438e-05,0.938625,1.56438e-05,1.56438e-05,,,,,,,,,,,,1.37978e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - Canada (Central),SavingsPlanCoveredUsage,Invoke,1287368549112,OnDemand,CAN1-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,ca-central-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20373,2022-01-01,-1.74855e-05,1.0491279,-1.74855e-05,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 736670144904 and UsageSku : JNXN2GCNDMDR7JAF,SavingsPlanNegation,Invoke,7366712144904,OnDemand,SAE1-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,sa-east-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20390,2022-01-01,1.17979e-05,0.707875,1.17979e-05,1.17979e-05,,,,,,,,,,,,1.06181e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - Asia Pacific (Tokyo),SavingsPlanCoveredUsage,Invoke,5192122259553,OnDemand,APN1-Lambda-GB-Second,seconds,,,,,,,,Serverless,AWS Lambda,ap-northeast-1,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
20391,2022-01-01,-0.2783999999999999,24.0,-0.2783999999999999,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 822276436757 and UsageSku : N4D3MGNKSH7Q9KT3,SavingsPlanNegation,RunInstances,822276436757,OnDemand,USW2-BoxUsage:t2.micro,Hrs,,,,,t2.micro,General purpose,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-west-2,,,,,,,2023-05-29T00:26:42.000Z,2020-05-29T00:26:43.000Z,arn:aws:savingsplans::116462199383:savingsplan/b1214fb1-b481-4531-9020-e413797f5b21,Any,3yr,NoUpfront,No Upfront,,,1
